0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
     1771    0.000    0.000    0.000    0.000 {chr}
        7    0.000    0.000    0.002    0.000 pyparsing.py:1606(__init__)
       72    0.000    0.000    0.000    0.000 TypeSlots.py:276(__init__)
      630    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 path.py:13(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:3(<module>)
        1    0.000    0.000    0.003    0.003 text.py:3(<module>)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 exception.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
      190    0.000    0.000    0.000    0.000 {zip}
       88    0.000    0.000    0.002    0.000 docstring.py:103(dedent_interpd)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        2    0.000    0.000    0.002    0.001 util.py:49(find_library)
        1    0.000    0.000    0.001    0.001 FixTk.py:21(convert_path)
      378    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       66    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.000    0.000    0.001    0.001 _multivariate.py:4(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
